Month,Year,Count
NULL,NULL,383408
1,1900,1
11,1945,1
3,1949,1
7,1965,11
9,1965,1
7,1968,1
5,1977,4
4,1978,36
5,1978,12
8,1978,7
9,1978,2
10,1978,10
11,1978,10
1,1979,16
2,1979,10
3,1979,2
4,1979,12
5,1979,4
6,1979,1
8,1979,90
9,1979,30
10,1979,12
11,1979,4
12,1979,12
1,1980,32
2,1980,62
3,1980,20
4,1980,14
6,1980,10
7,1980,5
8,1980,2
9,1980,13
10,1980,13
11,1980,5
1,1981,9
2,1981,22
4,1981,18
5,1981,22
6,1981,22
7,1981,2
8,1981,23
9,1981,9
10,1981,6
11,1981,18
12,1981,29
1,1982,46
2,1982,24
3,1982,20
4,1982,22
5,1982,36
6,1982,15
7,1982,32
8,1982,31
9,1982,20
10,1982,26
11,1982,47
12,1982,50
1,1983,59
2,1983,45
3,1983,14
4,1983,27
5,1983,33
6,1983,39
7,1983,13
8,1983,71
9,1983,15
10,1983,35
11,1983,35
12,1983,10
1,1984,61
2,1984,54
3,1984,53
4,1984,40
5,1984,58
6,1984,133
7,1984,57
8,1984,93
9,1984,74
10,1984,171
11,1984,81
12,1984,94
1,1985,111
2,1985,44
3,1985,73
4,1985,51
5,1985,47
6,1985,70
7,1985,62
8,1985,74
9,1985,81
10,1985,138
11,1985,102
12,1985,121
1,1986,136
2,1986,148
3,1986,289
4,1986,281
5,1986,407
6,1986,574
7,1986,433
8,1986,521
9,1986,372
10,1986,83
11,1986,29
12,1986,219
1,1987,152
2,1987,395
3,1987,149
4,1987,162
5,1987,136
6,1987,69
7,1987,265
8,1987,485
9,1987,302
10,1987,399
11,1987,500
12,1987,445
1,1988,1425
2,1988,1019
3,1988,1146
4,1988,1292
5,1988,1704
6,1988,2495
7,1988,2752
8,1988,4922
9,1988,11998
10,1988,23304
11,1988,83748
12,1988,105052
1,1989,117726
2,1989,111800
3,1989,125203
4,1989,102772
5,1989,116272
6,1989,111627
7,1989,100794
8,1989,117892
9,1989,109338
10,1989,116033
11,1989,123886
12,1989,104043
1,1990,124782
2,1990,116574
3,1990,128149
4,1990,116893
5,1990,127039
6,1990,118275
7,1990,115270
8,1990,129287
9,1990,120269
10,1990,134025
11,1990,132044
12,1990,107684
1,1991,130135
2,1991,120690
3,1991,130298
4,1991,121137
5,1991,130972
6,1991,122244
7,1991,128838
8,1991,116097
9,1991,120166
10,1991,120972
11,1991,126013
12,1991,113417
1,1992,130659
2,1992,123916
3,1992,139995
4,1992,132605
5,1992,124997
6,1992,132831
7,1992,129536
8,1992,131154
9,1992,138141
10,1992,133134
11,1992,141888
12,1992,128492
1,1993,122224
2,1993,126535
3,1993,81097
4,1993,148141
5,1993,144914
6,1993,151657
7,1993,140969
8,1993,156354
9,1993,162364
10,1993,145775
11,1993,116709
12,1993,61668
1,1994,95818
2,1994,79913
3,1994,53022
4,1994,82994
5,1994,43916
6,1994,104036
7,1994,92145
8,1994,103426
9,1994,98764
10,1994,98039
11,1994,84011
12,1994,100023
1,1995,106883
2,1995,100169
3,1995,120048
4,1995,115775
5,1995,117852
6,1995,117345
7,1995,106578
8,1995,117690
9,1995,114480
10,1995,118128
11,1995,123553
12,1995,109351
1,1996,128301
2,1996,121809
3,1996,153583
4,1996,137065
5,1996,137062
6,1996,128400
7,1996,131353
8,1996,129597
9,1996,126751
10,1996,136412
11,1996,133814
12,1996,122319
1,1997,133083
2,1997,139943
3,1997,162594
4,1997,160119
5,1997,165729
6,1997,155073
7,1997,158497
8,1997,147108
9,1997,155997
10,1997,160688
11,1997,204392
12,1997,228468
1,1998,236841
2,1998,228898
3,1998,255223
4,1998,254252
5,1998,247997
6,1998,261548
7,1998,258954
8,1998,251125
9,1998,264057
10,1998,261585
11,1998,276166
12,1998,186851
1,1999,160612
2,1999,115095
3,1999,135066
4,1999,121899
5,1999,122970
6,1999,125091
7,1999,115951
8,1999,120308
9,1999,129520
10,1999,119181
11,1999,121268
12,1999,117230
1,2000,124541
2,2000,129749
3,2000,142914
4,2000,121732
5,2000,141544
6,2000,134685
7,2000,114756
8,2000,129350
9,2000,118956
10,2000,124936
11,2000,130497
12,2000,112291
1,2001,132310
2,2001,117649
3,2001,108661
4,2001,96141
5,2001,110106
6,2001,101975
7,2001,97852
8,2001,105637
9,2001,93649
10,2001,93918
11,2001,104417
12,2001,89631
1,2002,107894
2,2002,103855
3,2002,111102
4,2002,110040
5,2002,115457
6,2002,103469
7,2002,109345
8,2002,109633
9,2002,108595
10,2002,112342
11,2002,111157
12,2002,106615
1,2003,45200
2,2003,36784
3,2003,39191
4,2003,38344
5,2003,37720
6,2003,40046
7,2003,44484
8,2003,42699
9,2003,45034
10,2003,44962
11,2003,43313
12,2003,42624
1,2004,46488
2,2004,46157
3,2004,51514
4,2004,47945
5,2004,46972
6,2004,49229
7,2004,46290
8,2004,48766
9,2004,48634
10,2004,45702
11,2004,49719
12,2004,45401
1,2005,47826
2,2005,48656
3,2005,54921
4,2005,48865
5,2005,48690
6,2005,50746
7,2005,43916
8,2005,52230
9,2005,49503
10,2005,48204
11,2005,52300
12,2005,45963
1,2006,52106
2,2006,50759
3,2006,55672
4,2006,47384
5,2006,53607
6,2006,52388
7,2006,47722
8,2006,54435
9,2006,51628
10,2006,52713
11,2006,56171
12,2006,48360
1,2007,86668
2,2007,88064
3,2007,94087
4,2007,82102
5,2007,90989
6,2007,84711
7,2007,83623
8,2007,90227
9,2007,81755
10,2007,89301
11,2007,90259
12,2007,76210
1,2008,93925
2,2008,92262
3,2008,91916
4,2008,92259
5,2008,90706
6,2008,89628
7,2008,92597
8,2008,89459
9,2008,93557
10,2008,92608
11,2008,89251
12,2008,87185
1,2009,96450
2,2009,90643
3,2009,101031
4,2009,91865
5,2009,92295
6,2009,96112
7,2009,93776
8,2009,92102
9,2009,97111
10,2009,94936
11,2009,95696
12,2009,87250
1,2010,94322
2,2010,98117
3,2010,109102
4,2010,92658
5,2010,90668
6,2010,95664
7,2010,90637
8,2010,93575
9,2010,96057
10,2010,89381
11,2010,95296
12,2010,76575
1,2011,93810
2,2011,96521
3,2011,106030
4,2011,87853
5,2011,98591
6,2011,98037
7,2011,91424
8,2011,101892
9,2011,99284
10,2011,92019
11,2011,100216
12,2011,89750
1,2012,100102
2,2012,99502
3,2012,91438
4,2012,92032
5,2012,104412
6,2012,95480
7,2012,100570
8,2012,106997
9,2012,96521
10,2012,103263
11,2012,104870
12,2012,88748
1,2013,107635
2,2013,101358
3,2013,103642
4,2013,102732
5,2013,105622
6,2013,95570
7,2013,102628
8,2013,107365
9,2013,104160
10,2013,107826
11,2013,104370
12,2013,94718
